country,year,litres_per_capita_average,happiness_score,gdp_per_capita,healthy_life_expectancy
Greece,2015,10.8,4.857,1.15406,0.88213
Lebanon,2015,1.5,4.839,1.02564,0.83947
Hungary,2015,11.6,4.8,1.12094,0.75905
Honduras,2015,3.5,4.788,0.59532,0.6951
Tajikistan,2015,0.9,4.786,0.39047,0.57379
Tunisia,2015,2.0,4.739,0.88113,0.73793
Bangladesh,2015,0.0,4.694,0.39753,0.60164
Ukraine,2015,10.1,4.681,0.79907,0.6739
Iraq,2015,0.4,4.677,0.98549,0.60237
South Africa,2015,9.5,4.642,0.92049,0.27688
Ghana,2015,3.0,4.633,0.54558,0.40132
Zimbabwe,2015,5.3,4.61,0.271,0.33475
Liberia,2015,4.9,4.571,0.0712,0.34201
India,2015,5.5,4.565,0.64499,0.51529
Haiti,2015,2.8,4.518,0.26673,0.38847
Nepal,2015,0.5,4.514,0.35997,0.56874
Ethiopia,2015,1.6,4.512,0.19073,0.44055
Sierra Leone,2015,5.0,4.507,0.33024,0.0
Mauritania,2015,0.0,4.436,0.45407,0.35874
Kenya,2015,2.0,4.419,0.36471,0.41435
Djibouti,2015,0.5,4.369,0.44025,0.36291
Armenia,2015,5.0,4.35,0.76821,0.7299
Botswana,2015,6.9,4.332,0.99355,0.04776
Myanmar,2015,1.7,4.307,0.27108,0.48246
Georgia,2015,8.9,4.297,0.7419,0.72926
Malawi,2015,4.0,4.292,0.01604,0.22562
Sri Lanka,2015,2.9,4.271,0.83524,0.70806
Cameroon,2015,6.1,4.252,0.4225,0.23402
Bulgaria,2015,12.0,4.218,1.01216,0.76649
Egypt,2015,0.2,4.194,0.8818,0.61712
Yemen,2015,0.0,4.077,0.54649,0.40064
Angola,2015,8.8,4.033,0.75778,0.16683
Mali,2015,1.3,3.995,0.26074,0.20583
Comoros,2015,0.8,3.956,0.23906,0.36315
Uganda,2015,13.0,3.931,0.21102,0.33861
Senegal,2015,0.6,3.904,0.36498,0.4354
Gabon,2015,9.5,3.896,1.06024,0.43372
Niger,2015,0.5,3.845,0.0694,0.29707
Cambodia,2015,6.6,3.819,0.46038,0.61114
Madagascar,2015,1.9,3.681,0.20824,0.46721
Central African Republic,2015,2.4,3.678,0.0785,0.06699
Chad,2015,1.6,3.667,0.34193,0.1501
Guinea,2015,1.2,3.656,0.17417,0.24009
Burkina Faso,2015,10.7,3.587,0.25812,0.27125
Afghanistan,2015,0.0,3.575,0.31982,0.30335
Rwanda,2015,8.3,3.465,0.22208,0.42864
Benin,2015,2.6,3.34,0.28665,0.3191
Burundi,2015,7.2,2.905,0.0153,0.22396
Togo,2015,2.4,2.839,0.20868,0.28443
Finland,2019,10.7,7.769,1.34,0.986
Denmark,2019,10.1,7.6,1.383,0.996
Norway,2019,7.1,7.554,1.488,1.028
Iceland,2019,9.2,7.494,1.38,1.026
Netherlands,2019,9.7,7.488,1.396,0.999
Switzerland,2019,11.2,7.48,1.452,1.052
Sweden,2019,9.0,7.343,1.387,1.009
New Zealand,2019,10.7,7.307,1.303,1.026
Canada,2019,8.8,7.278,1.365,1.039
Austria,2019,11.9,7.246,1.376,1.016
Australia,2019,10.4,7.228,1.372,1.036
Costa Rica,2019,4.1,7.167,1.034,0.963
Israel,2019,4.4,7.139,1.276,1.029
Luxembourg,2019,12.4,7.09,1.609,1.012
Ireland,2019,12.7,7.021,1.499,0.999
Germany,2019,12.8,6.985,1.373,0.987
Belgium,2019,10.8,6.923,1.356,0.986
United Arab Emirates,2019,3.8,6.825,1.503,0.825
Malta,2019,8.3,6.726,1.3,0.999
Mexico,2019,5.0,6.595,1.07,0.861
France,2019,12.2,6.592,1.324,1.045
Chile,2019,8.9,6.444,1.159,0.92
Guatemala,2019,1.6,6.436,0.8,0.746
Saudi Arabia,2019,0.0,6.375,1.403,0.795
Qatar,2019,1.5,6.374,1.684,0.871
Spain,2019,12.7,6.354,1.286,1.062
Panama,2019,7.8,6.321,1.149,0.91
Brazil,2019,7.3,6.3,1.004,0.802
Uruguay,2019,6.9,6.293,1.124,0.891
Singapore,2019,2.0,6.262,1.572,1.141
El Salvador,2019,4.1,6.253,0.794,0.789
Italy,2019,8.0,6.223,1.294,1.039
Bahrain,2019,1.1,6.199,1.362,0.871
Slovakia,2019,11.1,6.198,1.246,0.881
Poland,2019,11.9,6.182,1.206,0.884
Uzbekistan,2019,2.6,6.174,0.745,0.756
Lithuania,2019,12.8,6.149,1.238,0.818
Colombia,2019,5.5,6.125,0.985,0.841
Slovenia,2019,12.1,6.118,1.258,0.953
Nicaragua,2019,5.1,6.105,0.694,0.835
Argentina,2019,9.5,6.086,1.092,0.881
Romania,2019,12.3,6.07,1.162,0.825
Cyprus,2019,10.8,6.046,1.263,1.042
Ecuador,2019,3.3,6.028,0.912,0.868
Kuwait,2019,0.0,6.021,1.5,0.808
Thailand,2019,8.5,6.008,1.05,0.828
Latvia,2019,13.2,5.94,1.187,0.812
Estonia,2019,10.8,5.893,1.237,0.874
Jamaica,2019,4.2,5.89,0.831,0.831
Mauritius,2019,4.8,5.888,1.12,0.798
Japan,2019,10.1,5.886,1.327,1.088
Honduras,2019,3.9,5.86,0.642,0.828
Kazakhstan,2019,5.0,5.809,1.173,0.729
Hungary,2019,11.1,5.758,1.201,0.828
Paraguay,2019,7.0,5.743,0.855,0.777
Peru,2019,6.8,5.697,0.96,0.854
Portugal,2019,12.1,5.693,1.221,0.999
Pakistan,2019,0.3,5.653,0.677,0.535
Philippines,2019,7.0,5.631,0.807,0.657
Serbia,2019,8.9,5.603,1.004,0.854
Libya,2019,0.0,5.525,1.044,0.673
Montenegro,2019,12.2,5.523,1.051,0.871
Tajikistan,2019,0.9,5.467,0.493,0.718
Croatia,2019,8.7,5.432,1.155,0.914
Dominican Republic,2019,6.7,5.425,1.015,0.779
Bosnia and Herzegovina,2019,7.8,5.386,0.945,0.845
Turkey,2019,1.8,5.373,1.183,0.808
Malaysia,2019,0.9,5.339,1.221,0.828
Belarus,2019,11.0,5.323,1.067,0.789
Greece,2019,10.5,5.287,1.181,0.999
Mongolia,2019,5.9,5.285,0.948,0.667
Nigeria,2019,6.2,5.265,0.696,0.245
Kyrgyzstan,2019,4.9,5.261,0.551,0.723
Turkmenistan,2019,3.1,5.247,1.052,0.657
Algeria,2019,0.6,5.211,1.002,0.785
Morocco,2019,0.5,5.208,0.801,0.782
Azerbaijan,2019,1.0,5.208,1.043,0.769
Lebanon,2019,1.5,5.197,0.987,0.815
Indonesia,2019,0.2,5.192,0.931,0.66
China,2019,6.0,5.191,1.029,0.893
Bhutan,2019,0.2,5.082,0.813,0.604
Cameroon,2019,5.5,5.044,0.549,0.331
Bulgaria,2019,12.5,5.011,1.092,0.815
Ghana,2019,2.8,4.996,0.611,0.486
Nepal,2019,0.6,4.913,0.446,0.677
Jordan,2019,0.5,4.906,0.837,0.815
Benin,2019,2.2,4.883,0.393,0.397
Gabon,2019,8.1,4.799,1.057,0.571
South Africa,2019,9.5,4.722,0.96,0.469
Albania,2019,6.8,4.719,0.947,0.874
Cambodia,2019,7.8,4.7,0.574,0.637
Senegal,2019,0.7,4.681,0.45,0.571
Somalia,2019,0.0,4.668,0.0,0.268
Namibia,2019,3.1,4.639,0.879,0.477
Niger,2019,0.5,4.628,0.138,0.366
Burkina Faso,2019,11.0,4.587,0.331,0.38
Armenia,2019,4.7,4.559,0.85,0.815
Guinea,2019,1.1,4.534,0.38,0.375
Georgia,2019,9.5,4.519,0.886,0.752
Gambia,2019,3.4,4.516,0.308,0.428
Kenya,2019,2.1,4.509,0.512,0.581
Mauritania,2019,0.0,4.49,0.57,0.489
Mozambique,2019,2.7,4.466,0.204,0.39
Tunisia,2019,2.0,4.461,0.921,0.815
Bangladesh,2019,0.0,4.456,0.562,0.723
Iraq,2019,0.4,4.437,1.043,0.574
Mali,2019,1.3,4.39,0.385,0.308
Sierra Leone,2019,5.3,4.374,0.268,0.242
Sri Lanka,2019,2.9,4.366,0.949,0.831
Myanmar,2019,2.1,4.36,0.71,0.555
Chad,2019,1.3,4.35,0.35,0.192
Ukraine,2019,8.3,4.332,0.82,0.739
Ethiopia,2019,2.2,4.286,0.336,0.532
Uganda,2019,12.5,4.189,0.332,0.443
Egypt,2019,0.1,4.166,0.913,0.644
Zambia,2019,4.5,4.107,0.578,0.426
Togo,2019,2.7,4.085,0.275,0.41
India,2019,5.6,4.015,0.755,0.588
Liberia,2019,5.4,3.975,0.073,0.443
Comoros,2019,1.1,3.973,0.274,0.505
Madagascar,2019,2.0,3.933,0.274,0.555
Lesotho,2019,5.1,3.802,0.489,0.168
Burundi,2019,7.5,3.775,0.046,0.38
Zimbabwe,2019,4.5,3.663,0.366,0.433
Haiti,2019,3.0,3.597,0.323,0.449
Botswana,2019,6.6,3.488,1.041,0.538
Malawi,2019,4.1,3.41,0.191,0.495
Yemen,2019,0.0,3.38,0.287,0.463
Rwanda,2019,8.0,3.334,0.359,0.614
Afghanistan,2019,0.0,3.203,0.35,0.361
Central African Republic,2019,1.7,3.083,0.026,0.105
