,country,year,litres per capita average
827,Czechia,2000,15.0
828,Uganda,2000,15.2
829,Lithuania,2000,15.4
830,Ireland,2000,15.6
831,Russian Federation,2000,15.9
832,Romania,2000,19.2
833,Eritrea,2000,2.0
834,Kenya,2000,2.0
835,Madagascar,2000,2.1
836,Maldives,2000,2.1
837,Cook Islands,2000,2.1
838,India,2000,2.2
839,Mongolia,2000,2.3
840,Benin,2000,2.4
841,Turkey,2000,2.4
842,United Arab Emirates,2000,2.4
843,Guatemala,2000,2.4
844,Singapore,2000,2.5
845,Zimbabwe,2000,2.5
846,Malawi,2000,2.6
847,Turkmenistan,2000,2.6
848,Lebanon,2000,2.7
849,Namibia,2000,2.7
850,Kiribati,2000,2.8
851,Uzbekistan,2000,3.0
852,Zambia,2000,3.1
853,Israel,2000,3.1
854,Bhutan,2000,3.2
855,Fiji,2000,3.3
856,Angola,2000,3.3
857,Bolivia (Plurinational State of),2000,3.4
858,Democratic People's Republic of Korea,2000,3.5
859,Honduras,2000,3.5
860,Congo,2000,3.6
861,Armenia,2000,3.6
862,Micronesia (Federated States of),2000,3.8
863,China,2000,3.8
864,Central African Republic,2000,3.9
865,El Salvador,2000,3.9
866,Gambia,2000,3.9
867,Samoa,2000,4.0
868,Haiti,2000,4.0
869,Chad,2000,4.1
870,Guinea-Bissau,2000,4.4
871,Ecuador,2000,4.4
872,Jamaica,2000,4.5
873,Saint Vincent and the Grenadines,2000,4.6
874,Lao People's Democratic Republic,2000,4.7
875,Nicaragua,2000,5.0
876,Bahamas,2000,5.2
877,Georgia,2000,5.2
878,Cuba,2000,5.2
879,Ghana,2000,5.3
880,Suriname,2000,5.3
881,Antigua and Barbuda,2000,5.4
882,Kyrgyzstan,2000,5.5
883,Mauritius,2000,5.5
884,Philippines,2000,5.5
885,Trinidad and Tobago,2000,5.5
886,Panama,2000,5.5
887,Sierra Leone,2000,5.6
888,Cabo Verde,2000,5.7
889,Nauru,2000,5.8
890,Belize,2000,5.8
891,Malta,2000,5.8
892,Costa Rica,2000,5.9
893,Colombia,2000,6.2
894,Paraguay,2000,6.3
895,Bosnia and Herzegovina,2000,6.4
896,Liberia,2000,6.5
897,Peru,2000,6.5
898,Mexico,2000,6.5
899,Saint Kitts and Nevis,2000,6.6
900,Botswana,2000,6.6
901,Nigeria,2000,6.8
902,Norway,2000,6.8
903,Lesotho,2000,7.0
904,Côte d’Ivoire,2000,7.0
905,Barbados,2000,7.0
906,The former Yugoslav Republic of Macedonia,2000,7.1
